Rank	Ville	مدينة	Population_1977	Population_1988	Population_2000	Population_2005	Region
1 	Nouakchott 	انواكشوط 	138530 	393325 	558195 	719167 	Nouakchott
2 	Nouadhibou 	انواديبو 	22365 	59198 	72337 	89772 	Dakhlet Nouadhibou
3 	Rosso 	روصو 	15888 	27783 	48922 	59592 	Trarza
4 	Adel Bagrou 	 	2199 	6020 	36007 	58429 	Hodh Ech Chargui
5 	Boghé 	بوكى 	7891 	12557 	37531 	49089 	Brakna
6 	Kiffa 	كيفة 	10703 	29292 	32716 	40281 	Assaba
7 	Zouérat 	ازويرات 	17947 	25892 	33929 	37977 	Tiris Zemmour
8 	édi 	كيهيدي 	20356 	30515 	34227 	37616 	Gorgol
9 	Boû Gâdoûm 	 	 	 	29045 	32749 	Hodh Ech Chargui
10 	Boutilimit 	بوتلميت 	7263 	14545 	22257 	27170 	Trarza
11 	Atâr 	أطار 	16394 	21366 	24021 	25728 	Adrar
12 	Bareine 	 	 	 	22041 	24852 	Trarza
13 	Ghabou 	 	 	 	21700 	24467 	Guidima
14 	Hamoud 	 	 	 	20867 	23528 	Assaba
15 	Mâl 	 	 	 	20488 	23101 	Brakna
16 	N'Beike 	 	 	 	18310 	20645 	Tagant
17 	Gouraye 	 	 	 	18073 	20378 	Guidima
18 	Timbédra 	تنبدغة 	5300 	 	 	23762 	Hodh Ech Chargui
19 	Magta Lahjar 	مكطع لحجار 	 	 	 	22521 	Brakna
20 	Guérou 	كرو 	3712 	9665 	15589 	20167 	Assaba
21 	Soudoud 	 	 	 	16392 	18482 	Tagant
22 	Sélibaby 	سيلبابي 	5451 	11530 	15289 	18424 	Guidima
23 	Voum Legleite 	 	 	 	15700 	17702 	Gorgol
24 	Legceïba 	 	 	 	14908 	16809 	Gorgol
25 	Boû Steïlé 	 	 	 	14904 	16804 	Hodh Ech Chargui
26 	Sangrave 	 	 	 	14303 	16127 	Brakna
27 	Tintane 	الطينطان 	 	 	 	16067 	Hodh El Gharbi
28 	Néma 	النعمة 	7949 	15747 	13759 	15310 	Hodh Ech Chargui
29 	Aleg 	آلاك 	5143 	9635 	12898 	15211 	Brakna
30 	Tidjikja 	تجكجة 	8305 	10904 	13532 	14751 	Tagant
31 	Walata 	ولاتة 	 	 	11779 	12777 	Hodh Ech Chargui
32 	Ayoûn el-Atroûs 	العيون 	8528 	12445 	11867 	12635 	Hodh El Gharbi
33 	Bababé 	بابابى 	 	 	 	11507 	Brakna
34 	Aqjawajat 	اكجوجت 	8000 	 	 	11235 	Inchiri
35 	Chagar 	 	 	 	 	10437 	Brakna
